age,region,gender,monthly_spend,subscriber,tenure
32.0,B,m,111.1,False,3.0
44.0,B,f,166.4,False,4.0
38.0,B,f,162.08,False,10.0
27.0,E,m,106.31,False,16.0
48.0,B,m,155.3,False,16.0
22.0,B,f,155.19,False,31.0
70.0,E,f,101.82,False,6.0
42.0,A,f,148.18,True,22.0
32.0,B,f,85.24,False,5.0
50.0,B,f,165.1,False,14.0
36.0,A,m,98.77,False,12.0
34.0,B,m,96.28,False,8.0
39.0,A,m,154.26,True,22.0
58.0,B,m,107.42,False,2.0
23.0,E,m,75.86,False,22.0
31.0,B,f,93.52,False,5.0
45.0,E,f,122.88,False,9.0
25.0,E,f,95.11,False,1.0
34.0,A,f,150.8,True,19.0
41.0,B,f,82.19,False,6.0
45.0,B,f,107.77,False,10.0
46.0,B,f,126.83,False,5.0
18.0,B,f,153.39,False,11.0
28.0,B,f,117.8,False,3.0
52.0,B,f,155.45,False,2.0
30.0,B,m,80.31,False,6.0
34.0,C,m,122.99,False,7.0
23.0,C,m,60.43,False,2.0
30.0,B,f,113.11,False,10.0
26.0,B,f,53.32,False,3.0
32.0,B,f,142.28,False,4.0
40.0,E,f,168.05,False,12.0
53.0,C,f,138.68,False,10.0
30.0,B,m,104.96,True,22.0
40.0,B,f,82.47,False,10.0
28.0,A,f,127.48,False,27.0
34.0,A,f,163.4,False,26.0
43.0,B,f,125.28,False,11.0
40.0,D,m,81.06,False,5.0
26.0,B,m,106.92,False,3.0
18.0,B,m,29.86,False,10.0
37.0,B,m,82.34,False,5.0
53.0,B,f,137.13,False,8.0
57.0,E,f,132.2,False,3.0
35.0,C,f,167.57,False,29.0
23.0,B,f,283.05,False,42.0
37.0,E,f,72.72,False,3.0
48.0,B,f,128.48,False,2.0
30.0,B,f,109.44,False,7.0
44.0,D,f,120.24,False,4.0
45.0,B,m,102.96,False,1.0
28.0,B,f,111.02,False,5.0
31.0,B,m,80.3,False,5.0
37.0,A,f,104.95,False,8.0
35.0,A,f,114.72,False,10.0
55.0,A,f,95.43,False,11.0
36.0,B,f,230.4,False,39.0
33.0,E,f,87.18,False,4.0
37.0,E,f,100.23,False,2.0
29.0,B,f,106.25,False,3.0
37.0,B,f,134.18,False,1.0
32.0,C,m,154.84,False,5.0
27.0,E,f,85.3,False,4.0
26.0,B,m,65.25,False,5.0
31.0,B,f,118.61,False,6.0
51.0,B,m,245.92,True,35.0
43.0,B,f,122.93,False,7.0
31.0,B,f,107.39,True,13.0
35.0,A,m,99.6,False,6.0
38.0,B,m,115.34,False,4.0
39.0,B,f,99.65,False,19.0
36.0,D,m,121.88,False,1.0
36.0,E,f,123.21,False,5.0
33.0,B,m,73.4,False,2.0
25.0,E,f,169.79,False,26.0
30.0,A,f,82.45,False,7.0
29.0,B,f,161.99,False,8.0
31.0,E,m,87.97,False,12.0
31.0,B,f,118.92,False,11.0
34.0,B,f,83.57,False,3.0
36.0,B,f,121.76,False,6.0
38.0,B,m,125.96,False,2.0
39.0,B,f,119.28,False,3.0
21.0,E,f,87.27,False,3.0
41.0,B,f,154.92,False,7.0
25.0,B,f,85.9,False,1.0
45.0,B,f,109.98,False,17.0
26.0,A,m,84.94,False,1.0
33.0,B,f,123.6,False,12.0
26.0,A,m,93.4,False,5.0
34.0,B,f,96.33,False,2.0
52.0,A,f,129.34,False,7.0
48.0,B,f,214.18,False,10.0
41.0,E,m,141.6,True,16.0
48.0,C,f,169.15,False,10.0
44.0,A,m,193.74,False,23.0
31.0,B,m,81.73,False,3.0
35.0,B,f,83.54,False,3.0
45.0,C,m,226.75,False,7.0
38.0,B,m,109.04,False,7.0
31.0,B,f,88.79,False,3.0
32.0,C,f,113.87,False,17.0
50.0,B,f,136.61,False,7.0
32.0,A,f,110.06,False,3.0
30.0,B,m,109.95,False,2.0
42.0,A,m,84.31,False,2.0
33.0,B,m,145.49,True,24.0
39.0,B,m,87.62,False,4.0
26.0,A,f,59.29,False,3.0
24.0,B,m,105.21,False,8.0
45.0,C,f,242.08,True,19.0
27.0,B,f,163.75,False,8.0
48.0,E,f,85.53,False,2.0
41.0,B,f,85.5,False,6.0
46.0,B,m,76.23,False,6.0
35.0,B,f,121.6,False,3.0
31.0,B,m,81.15,False,2.0
48.0,B,f,121.42,False,1.0
44.0,B,m,160.48,False,14.0
23.0,C,f,100.21,False,1.0
54.0,B,f,107.36,False,2.0
21.0,B,f,148.69,False,11.0
52.0,B,f,176.71,True,19.0
27.0,B,f,56.31,False,9.0
39.0,B,m,118.12,False,1.0
23.0,C,m,61.0,False,4.0
26.0,B,f,84.78,False,2.0
