age,basket,checkout,region,coupon,gender,monthly_spend,shipping_fee,subscriber,tenure
45.0,29.5,False,B,True,f,103.21,20.0,False,14.0
41.0,40.9,False,B,False,m,118.34,20.0,False,2.0
30.0,41.5,False,B,False,f,144.9,20.0,False,31.0
34.0,20.8,False,B,True,f,85.79,20.0,False,1.0
42.0,24.6,False,B,False,m,91.32,20.0,False,5.0
28.0,20.1,False,B,False,f,78.76,20.0,False,10.0
47.0,37.4,False,E,False,f,104.86,15.0,False,2.0
28.0,22.9,False,B,False,f,136.73,20.0,False,10.0
33.0,37.3,False,C,False,f,106.38,0.0,False,10.0
31.0,21.8,False,A,False,m,63.33,5.0,False,6.0
25.0,22.2,False,A,False,f,83.69,5.0,False,7.0
30.0,27.8,True,B,False,m,93.49,20.0,False,9.0
21.0,20.5,False,B,False,m,89.88,20.0,False,1.0
38.0,22.2,False,B,False,f,86.77,20.0,False,1.0
38.0,27.3,False,B,False,m,101.15,20.0,False,8.0
45.0,30.2,False,B,True,m,93.64,20.0,False,4.0
54.0,73.5,False,B,False,f,290.08,20.0,True,44.0
30.0,26.5,False,B,False,f,71.18,20.0,False,8.0
29.0,43.2,False,E,False,f,134.51,15.0,False,5.0
43.0,30.8,False,B,False,m,133.36,20.0,False,7.0
39.0,23.1,False,B,False,f,83.7,20.0,False,3.0
32.0,16.8,False,B,False,f,66.76,20.0,False,4.0
46.0,30.1,False,B,False,f,127.73,20.0,False,3.0
37.0,21.5,False,B,False,f,105.84,20.0,False,4.0
34.0,27.0,False,B,False,m,71.1,20.0,False,4.0
35.0,47.1,False,C,False,f,123.63,0.0,False,4.0
38.0,30.3,False,A,False,f,107.83,5.0,False,8.0
38.0,37.5,False,B,False,f,218.72,20.0,False,8.0
34.0,38.6,False,B,False,f,153.26,20.0,False,2.0
53.0,25.1,False,A,False,f,96.15,5.0,False,1.0
46.0,38.3,False,B,False,m,126.86,20.0,False,4.0
49.0,40.0,False,B,False,m,135.06,20.0,False,13.0
20.0,19.6,False,A,False,f,100.54,5.0,False,5.0
37.0,31.6,False,E,False,f,154.74,15.0,False,5.0
34.0,29.7,False,A,False,f,98.49,5.0,False,4.0
27.0,21.9,False,B,False,m,75.58,20.0,False,8.0
42.0,26.0,False,A,False,f,101.65,5.0,False,4.0
39.0,32.9,False,C,False,m,109.2,0.0,False,8.0
28.0,48.4,False,B,False,m,149.6,20.0,False,12.0
41.0,31.7,False,B,True,m,93.2,20.0,False,7.0
36.0,32.0,False,B,False,f,116.07,20.0,False,18.0
42.0,29.0,True,B,True,f,102.56,20.0,False,5.0
35.0,38.2,False,B,False,f,120.35,20.0,False,9.0
43.0,43.0,False,B,False,f,141.23,20.0,False,5.0
30.0,155.3,False,D,False,f,68.9,64.29,False,3.0
57.0,30.4,False,B,False,f,121.9,20.0,False,2.0
43.0,37.0,False,B,False,f,121.5,20.0,False,2.0
34.0,63.5,False,C,False,f,228.24,0.0,False,35.0
27.0,38.0,False,B,False,f,147.45,20.0,False,9.0
35.0,53.4,False,B,False,f,181.37,20.0,True,18.0
27.0,20.9,False,B,False,m,64.33,20.0,False,11.0
30.0,23.8,False,B,False,f,81.71,20.0,False,4.0
19.0,15.1,False,B,True,f,57.41,20.0,False,3.0
33.0,21.1,False,B,False,m,64.35,20.0,False,4.0
22.0,21.1,False,B,False,f,57.54,20.0,False,1.0
34.0,36.1,False,E,False,f,138.13,15.0,False,5.0
26.0,19.8,False,A,True,f,97.72,5.0,False,22.0
54.0,64.9,False,B,False,f,181.28,20.0,False,4.0
48.0,34.8,False,B,False,f,130.52,20.0,False,3.0
56.0,42.6,False,B,True,m,133.5,20.0,False,9.0
29.0,23.0,False,B,True,m,58.53,20.0,False,11.0
58.0,43.2,True,E,False,m,136.52,15.0,False,3.0
31.0,28.5,True,C,True,f,113.1,10.0,True,18.0
47.0,35.8,False,B,True,f,110.86,20.0,False,1.0
58.0,29.0,False,C,False,f,135.08,10.0,False,2.0
35.0,42.4,False,B,True,f,172.95,20.0,False,7.0
39.0,25.1,False,B,False,f,96.54,20.0,False,4.0
35.0,54.2,False,C,False,f,188.46,0.0,False,34.0
35.0,27.3,False,A,True,f,98.93,5.0,False,7.0
28.0,37.8,False,B,False,f,92.97,20.0,False,21.0
32.0,23.8,False,B,False,m,104.41,20.0,False,8.0
43.0,32.0,False,B,False,f,98.46,20.0,False,2.0
38.0,41.6,False,B,False,f,124.2,20.0,False,4.0
22.0,21.7,False,B,False,m,57.55,20.0,False,7.0
37.0,22.3,False,B,False,f,84.75,20.0,False,13.0
38.0,38.7,False,B,False,f,118.21,20.0,False,8.0
30.0,24.4,False,B,False,m,83.26,20.0,False,3.0
38.0,37.8,False,B,True,f,114.51,20.0,False,8.0
52.0,31.0,False,B,False,m,105.41,20.0,False,6.0
31.0,30.1,False,B,False,m,98.97,20.0,False,7.0
29.0,28.7,False,B,True,f,103.85,20.0,False,5.0
39.0,22.2,False,B,False,f,108.64,20.0,False,6.0
25.0,35.8,False,B,True,f,109.15,20.0,False,6.0
29.0,34.6,False,B,False,f,120.35,20.0,False,1.0
48.0,181.5,False,D,False,f,154.37,53.45,False,23.0
37.0,37.7,False,B,False,f,107.85,20.0,False,15.0
33.0,37.1,False,B,False,m,107.95,20.0,False,7.0
29.0,21.5,False,B,True,f,60.91,20.0,False,11.0
32.0,31.7,False,C,False,m,81.06,0.0,False,7.0
26.0,26.5,False,B,False,f,100.15,20.0,False,15.0
39.0,30.0,False,A,False,f,119.62,5.0,False,3.0
45.0,39.9,False,A,False,f,108.37,5.0,False,2.0
31.0,16.2,False,B,False,m,64.41,20.0,False,5.0
46.0,35.6,False,A,False,f,129.15,5.0,False,12.0
61.0,43.5,False,A,False,m,144.38,5.0,False,1.0
40.0,28.6,False,A,True,f,97.6,5.0,False,7.0
44.0,26.7,False,C,False,f,92.81,10.0,False,4.0
26.0,162.8,False,D,True,f,112.32,49.64,False,4.0
37.0,22.9,False,B,False,f,101.63,20.0,False,6.0
49.0,33.5,False,E,True,f,117.51,15.0,False,6.0
57.0,42.5,False,B,False,m,110.6,20.0,False,13.0
28.0,24.3,False,B,True,f,89.18,20.0,False,9.0
47.0,34.4,False,B,False,f,123.73,20.0,False,5.0
38.0,36.5,False,B,False,m,116.99,20.0,False,4.0
36.0,24.2,False,A,False,m,104.12,5.0,False,3.0
51.0,29.8,False,B,False,f,125.22,20.0,False,10.0
25.0,22.8,False,B,False,f,79.48,20.0,False,6.0
44.0,46.6,False,B,True,f,129.97,20.0,False,1.0
53.0,28.2,False,B,False,f,132.44,20.0,False,8.0
23.0,14.7,False,B,False,f,70.44,20.0,False,2.0
39.0,27.1,False,A,False,m,88.64,5.0,False,3.0
22.0,26.9,False,E,True,m,92.28,15.0,False,15.0
24.0,22.1,True,B,True,f,111.14,20.0,False,10.0
52.0,31.7,False,B,True,f,151.63,20.0,False,2.0
47.0,25.0,False,C,True,m,113.03,10.0,False,3.0
30.0,32.8,False,B,False,m,130.27,20.0,False,1.0
33.0,36.7,False,A,True,m,123.0,5.0,False,1.0
21.0,18.4,False,E,True,f,78.57,15.0,False,6.0
26.0,25.9,False,B,False,m,87.72,20.0,False,10.0
